a 阿锕嗄啊吖錒腌呵
nai 柰腉熋艿迺鼐萘耐孻搱奶氖渿釢掜摨乃佴褦疓倷廼奈螚妳錼
nan 諵揇娚嫨楠莮畘戁枬囡男赧妠遖南暔柟煵腩蝻枏萳難婻难喃侽抩囝灘湳
nang 齉曩憹嚢囔鬞涳儾噥灢馕囊崀攮蠰饢瀼搑擃欜蘘乪
nao 猱碙垴巎憹巙匘恼蝚鐃閙夒嶩堖峱淖闹脑腦檂悩碯橈獶譊婥瑙挠蛲腝铙脳嫐蟯惱鬧呶詉怓撓孬臑硇膠獿
ne 呢讷呐疒眲哪訥螚抐
nei 餒餧腇内氝馁脮鮾錗鯘娞那哪浽
nen 嫰嫩腝媆臑恁
neng 能竜檸
ng 唵
ni 馜抳铌誽孨晲譺隬跜堄觬胒臡兒儞惄柅睨縌苨暱嬺你鉨霓泥齯拟腻痆尼坭妳棿孴逆鲵濔伲溺輗儗眤呢貎愵擬麑婗昵猊埿瀰彌淣秜镾抐狔鯢聻怩迡鑈薿妮懝蛪倪旎灄腝籾嫟匿掜檷蜺郳鈮膩伱蚭屔
nian 撚姩蔫晛拈埝鲇粘唸廿榐年捻艌簐涊碾秊秥躎黏撵淰鲶輾哖念攆辇鵇痆鯰輦蹨鮎跈
niang 釀嬢娘酿醸
niao 尿鸟褭嬈尦鳥溺蔦嬲茑樢嬝袅茮脲裊嫋
nie 菍銸鑷帇篞隉敜肀鎳聂惗陧镊櫱齧攝踙闑啮糵圼巕嗫顳鉨摰揑聶臲蘖踗錜痆孼枿嵒褹棿囐嚙颞捏鉩囓躡喦囁鋷嵲蠥鑈諗乜踂蹑嶭苶涅讘孽掜钀糱籋臬槷镍
nin 恁拰脌囜您
ning 橣柠甯薴寧侫拧鑏寜濘矃獰聍鬤鸋儜泞聹寍嬣擰佞咛寕嚀鬡狞澝寗檸苎凝宁
niu 抝拗莥鈕狃杻妞紐扭忸沑牛靵纽钮炄
nong 脓憹辳癑農醲弄膿齈欁濃农噥挊挵禯襛哝穠儂侬浓檂秾繷蕽莀
nou 鐞譨啂搙檽獳鎒耨槈嬬擩羺譳
nu 伮胬孥詉砮傉驽怒努擩搙奴弩笯駑
nuan 餪渜奻煗煖臑暖
nue 瘧
nun 黁
nuo 耎儺橠挪呐傩逽毭糯蹃娜懧榒懦愞難锘袳梛糑搙鍩喏搻堧媠掿稬穤袲搦糥砈諾郍诺
nv 聏衂籹釹女衄钕朒沑恧
nüe 虐疟婩硸
o 噢哦
ou 毆欧吽吘耦敺沤怄腢摳膒鏂甌漚醧藕齵嘔熰慪鸥藲殴偶櫙謳呕区歐鷗樞蓲鴎讴澫蕅塸紆瓯
pa 跁袙扒爬帕葩妑琶怕趴潖啪筢帊掱蚆杷皅耙舥钯鈀
pai 俳牌迫鎃棑沠簰湃排腗拍椑篺徘猅哌派輫蒎犤箄
pan 畔頖幋爿縏蒰牉磐溿炍判坢宷盘叛盼搫賁螌審盻蹣聁闆鵥鋬襻畨蟠柈詊眅昄沜鎜跘碆潘蹒膰踫番覍胖冸泮眫姍拚槃媻袢瀋褩鞶攀鑻盤磻籓瀊洀
pang 沗肨逄滂膖覫龎庬厐舽汸胮鰟龐螃篣厖趽耪蠭牓庞鎊膀嗙胖磅炐彷霶旁乓雱髈鳑夆
pao 謈萢爮靤礟礮狍拋窌皰脬袍抙鮑嚗軳垉炰铇跑瓟泡麅疱刨鞄庖砲褜穮蚫颮脟麃匏鉋咆炮抛麭奅犥
pei 抷佩旆浿霈配怌肧胚茷毰荖陪棓昢锫錇赔沛裵嶏犻培棑妚帔笩馷陫珮婄轡阫琣姵俖駍斾蓜衃垺呸攈裴柸辔伂醅賠
pen 濆歕盆翸喷湓葐呠喯噴瓫衯
peng 槰鬅匉搒恲皏軿硑芃漰塳錋韼篣髼竼鬔荓亯烹熢膨憉踫掽磞蟛椖鹏椪摓剻嘭稝痭抨塜鑝倗梈韸彭篷莑怦亨纄樥絣蟚軯弸硼淎漨輧蓬鵬捧朋澎洴碰棚駍胓淜閛泙砰輣堋
pi 焷脴笓痞毗痺豼蚽紕炋頗被睤仳披枈陂鴄秠鵧蚾噼憵螷狉礔噽丕肶鈹愊猈澼毞皮邳裨狓諀銢鸊隦罴嚭霹顖稫壀嚊渒否粃譬帔秛伾鉟脾庀鮍髬篺翍睥鞞礕淠抷潎闢疲阰辟匹磇擗錍岯芘鈲銔蠯嫓鈚纰蜱毘鎞豾媲疈膍坏圮批癖屁鲏旇罷簲釽駓陴腗砒坯铍怶羆椑鷿苉疋錃魮悂伓魾劈郫琵埤枇甓耚啤僻崥朇蚍揊貔檘鼙
pian 騗偏騙骿翩骗徧楄扁骈犏蹁諞諚胼腁騈貵獱谝片鴘鶣猵駢便魸媥跰緶楩賆篇覑璸囨萹
piao 縹殍潎顠篻翲瞟骠徱莩飃瓢摽剽髟魒嘌朴醥飘謤闝飄螵藨僄嫖票勡驃皫彯薸蔈旚磦驫慓漂缥犥
pie 撇鐅潎撆瞥覕苤嫳暼氕丿
pin 汖品贫穦馪驞嫔蘋娉貧顰琕姘玭瀕頻併频矉砏牝聘拚颦嬪娦嚬薲拼礗榀
ping 缾慿坪聠鉼簈呯幈屏甹冯箳憑倗平帲軿郱鲆蛢帡頩蚲輧荓凭俜鵧焩洴竮萍娉蘋评枰乒胓瓶屛岼艵淜蓱凴泙苹鮃娦玶砯評塀涄
po 魄蒪迫笸哱尀烞謈蔢钷泼繁搫尃珀粕昢駊頗廹屰奤鉕朴岶猼破醱洦釙砶濼巿皛癹陂嘙岥溌昲皤緐潑叵櫇婆翍颇覇泺钋酦敀髆鏺鄱坡
pou 犃吥堷婄裒剖咅棓抔垺颒頮箁錇掊抙哣捊
pu 曝鈈鏷镤仆抪撲匍僕潽纀攵譜捗噗璞秿獛葡普堡痡圤炇暜瀑蹼莆菩豧陠蒱穙圃圑舖鐠浦墣鋪謈烳脯濮贌埔谱铺誧擈朴瞨舗氆鯆溥镨諩扑襆蜅檏駇柨樸蒲菐攴荹酺襥暴醭
qeng 綆
qi 祺凄歧懠蜝碶扺荎魕鶀萕妻暣斉淒霋艩紪鶌剘碕袳拞蕲鯕玂只磩骐锜緝碁氣愾踑慽愭擖扱棋濟碛缼蟣汔竒七棲豈郪婍萋裿祈棄欹傶契娸蛴軙祇栔棊骑晵欺盵蚑稘泣綮濝企迉摖褄喰炁緕訖僛欫俟启蚚亓猉齮滊捿朞杞磧礘祁軝斊綺頎颀柒綦焏器嘁螇麡騎榿忯甈觭錡槭岐臍鵸躩釮脐盀闙躤憇期渏啟崎悽肐鲯梩亝麒緀淇湆薺桼夡芞憩蠐衹其玘迄呮蟿騏攲邔呇咠恓唭栖磜帺疧旂倛騹耆噐鐖綥跂肵嵜棨啓諆諿葺鏚桤稽起湇琪簱綨蚔趞簯隑禥鰭螧屺鳍芑磎掑粸畦沏鶈蹊纃毄慼讫啔弃汽蘄鬾踖愒绮檱魌鼜岂藄乞洓琦齐鮨漬戚櫀砌鬿萁芪奇亟褀諬岓忔鬐齊罊荠缉踦絜璂籏漆敧気蜞圻埼饑气旗扢唘
qia 鮚跒冾揢擖酠帢愘恰楬硈佉髂洽卡磍抲圶絜郃葜戞鞐掐拤殎搳
qian 鳽譴鎆岒谸蕁淒攓欠嗛歬遷拑歁艌汘刋圱牽孅杴迁熑濳脥慊蚙汧岍扡浅鍼奷錢潜籤漸伣凵葥諐忴碊蒨蜸仱晵牵雃鉗榩铅鉆揃纤圲幵釺繾鰬鐱黚孯藖褰鉛箞鋟鰜僉唊軡阡嵰橬佥攑騫摼齦鈆钎灊篟攐慳谦乹輤銭騚騝籖骞磏篏鏲槏潛縴签欿鈐儙綪钳煔韆千鬜謙撁玪開燫厱壍傔撍芊棈钱扲倩錎搴鳒櫏羬塹炶仟鑓悭椠犍乾簽憸顅鬝臤偂芡悓遣茜钤谴黔荨蚈扦淺燂墘肷槧蟬葴粁婜掔箝檶鹐掮缱前朁媊嵌拪歉茾俔堑鵮嬱欦皘蔳竏灒杄虔愆顩膁廞
qiang 唴羟嶈蔷抢獇樯戕襁牄鎗斨鏹強墏墙篬羥勥羌哐锖溬枪跄瑲矼繦謒將摤蹌錆强鸧嫱槍炝廧蜣摪椌艢嗆琷啌呛漒繈锵嗴牆鏘嬙熗腔蔃戧搶鶬猐羻戗蹡悾檣蘠镪薔玱羫彊墻
qianwa 瓩
qiao 郻踍勪喿樵譙峤鐰锹陗墧鄡瞧嵪墽雀壳菬毳訬橋礄踃谯塙喬睄磝誚趫頝噭缲鍬顦髚磽僺僑劁敲橇嫶犞藮譑蹺箾幧癄蟭鞒繑撽窯竅鐈乔悄趬躈墝蟜摮骹铫殼鞘礉峭鍫韒偢荞嘺碻鏒槗銚桥巧蹻嬌顤燋翹跷潐鄥嶠侨俏釥愀鞽撬硗蕎鄗帩燆橾繰翘窍毃鞩诮髜幓憔荍硚
qie 聺且倢伽锲藒惬鍥鯜踥魥稧苆鰈輵嗛趄怯椄愜帹猰緁癿愒籡穕淁詧箧倿茄鐑厒悏慊笡竊蛪窃挈挿匧洯跙切篋朅妾疌
qin 揿昑擒鮼澿瘽坅埁寑懃螼誛赺赾沁櫬嶔亲雂嵚廑儭瀙矝矜菦唚墐抋濅扲斳蚙噙吢駸衾覃吣鬵嶜懄侵嗪撳芩慬菳芹鈙秦钦寢鵭勤寴笉欽鈂耹琹搇蚚綅庈梫梣靲寝滲鋟檎涁鳹鈊骎顉嫀親螓謹肣锓埐溱琴禽藽蠄捦寖珡媇菣
qing 蜻靘棾罄擏殑勍綪啨黥氰頃濪亲卿請儭庆晴甠圊鲭慶氢汫渹庼謦傾檾情磬淸綮氫夝郬鑋碃漀樈廎擎葝鯨硘倾剠埥檠軽莔轻青暒清櫦掅凊箐顷请寈鯖苘輕鶄
qiong 卭穷嬛竆蛩銎赹瓗焪瓊橩惸琁熍筇睘蛬儝藑窮璚跫焭煢憌舼琼邛笻瞏穹桏茕
qiu 煪訄叴赇俅萩楸逎巯渞紌鱃巰浗賕釓蝵糗龝唒犰醔毬璆篍踆苬搝丘泅鳅蚯玌皳觩鹙龟鞧湭捄秋訅蓲鮂扏蟗囚汓觓趥虯酋鵭鼽蝤鞦蠤媝釚丠盚恘螑崷敺虬蘒鰌遒邱銶殏趜莍厹鶖仇求球梂穐裘肍楢氿蛷逑鰍牫釻秌鯄寈湫緧櫹鳩鰽坵絿
qu 闃蟝鸲袪璖姱鼁紶詓淭璩厺懼戵衐苣蝺粬竬胊駈鮈區懅鸜娶灈姁駆浀鐻脥趋屈瞿躯斪衢誳覷忂跔佉朐麯呿劬絇黢軥騶魼蠼翑磲軀臞刞胠誇匷葋鼩媰去岖匤迲取阒鰸焌渠趍毆憈觑抾坥驅敺麴鱋曲鈎蕖籧覰佢龋蘧趜跼鉤菃岨癯蛐齲嶇蠷髷詘閴螶祛驱趣蛆欋趨臒区诎筁郥躣阹耝伹覻跙麮麹氍鑺組岴
quan 矔全騡荃泉硂鰁権勧勸縓圈輇駩醛棬牶純蠸銓犈譔詮牷狋謜恮鳈踡绻觠鐉辁犭楾佺痊慱蟤腃拳甽铨啳闎權鬈瑔巻齤劝葲犬巏槫权诠券絟灥悛跧烇綣峑筌姾顴埢洤虇蜷捲惓搼婘椦畎颧湶
que 獡確却闕礭闋湀阙确墧炔榷碏缺碻踖雀搉崅礐汋塙悫阕皵決鹊傕敠毃愨卻躤鵲瘸埆慤燩蒛趞
qun 宭囷裠歏裙踆逡帬麕峮麏群羣箘夋輑麇
ran 橪嘫燃蛅髯舑嫨珃姌熯冄蚦然袡冉袇蒅肰柟染蹨媣髥呥繎蚺衻苒
rang 蘘欀壌嚷忀爙讓孃壤纕攘譲躟懹让蠰鬤瀼勷瓤穣儴獽穰禳
rao 繚繞擾遶嬈娆穘蕘隢蟯饶荛桡饒襓绕扰撓橈挐犪
re 捼蹃热熱渃婼惹喏
ren 仁躵刃芢栣仞腍秹綛袵釰扨忈紝刄梕韌壬杒恁栠秂纫姙纴軔轫讱葚亻朲涊荵饪人忎稔棯妊認飪靭鵀衽賃訒任鈓銋忍荏屻絍靱认紉肕韧牣餁仭魜
reng 辸礽仍芿陾扔
ri 釰日驲馹氜鈤囸
rong 頌瑢融褣蝾嵤茙嬫曧爃蠑溶峵瀜鎔宂冗榮嵘坈駥嶸蓉肜搑羢媶氄镕軵穃傇茸狨髶毧縟絨縙螎榵傛烿穁搈摉栄荣戎容嫆榕熔绒
rou 鞣媃瓇宍蝚楺輮鍒肉騥鑐柔煣葇髳瑈揉韖鶔蹂粈糅鰇腬厹渘
ru 帤襦乳伖嶿如孺蓐筎儒缛醹渪銣懧顬袽肗扖蒘燸擩薷溽曘洳濡蕠女桇鱬縟茹蠕嚅汝込嬬咮鴽鄏入嗕鑐侞獳鴑鳰颥媷杁褥辱臑铷偄
rua 挼
ruan 輭瑌堧壖燸軟腝緛礝渪朊蝡阮撋愞檽媆碝软瓀擩偄
rui 銳說笍蕊枘蘃橤壡惢蕤蘂蕋鋭婑汭抐蚋挩倕锐桵苼叡甤蜹瑞撋睿鏸繠緌踒綏芮
run 润閏橍閠撋闰氄潤
ruo 若叒蒻捼渃楉箬挼篛嵶鄀鰙撋偌弱嬝鰯鶸焫爇嫋
sa 撒潵鎝泧摋洒脎灑萨隡颯鏾櫒飒姍卅纚薩仨钑攃霅訯靸鈒馺
sai 嘥噻揌毢塞嗮顋賽鰓諰鳃毸愢腮赛僿簺
san 潵毶橵糁糂叁帴伞謲鬖饊毿參糤弎馓傪鏾散蔘俕閐傘糝三犙毵繖鏒糣参
sang 褬顙丧桒纕桑颡磉嗓搡槡鎟喪
sao 慅埽掃搔繅缫瘙螦鐰溞缲騷鱢掻扫矂煰鳋橾繰颾鰺鄵鰠臊嫂騒懆氉骚髞
se 拺铯濏粣塞虩瀒懎栜璱鉍琗銫鎩嗇渋溹瘷色澀洓歰濇瑟繬飋漬澁鎍穡槭轖愬雭穑鏼啬譅涩擌歮穯
sen 森襂滲傪涁
seng 鬙僧
sha 濈榝嗄傻樧鯋儍廈紗歃杉倽翣硰铩啑喢繌擑菨賖痧啥鎩帹霅煞鯊箑纱攝摋莎霎閷乷蔱唼砂杀裟鲨挱猀萐粆閯魦唦殺刹翜繺沙賒厦
shai 諰摋簁攦筛晒曬簛釃繺篩
shan 纔闪鳝嬗舢禅杉讪閄衫傓煽膻钐磰灗苫贍鱓剡縿單猭鱔擅埏鱣謆鳣剼鐥删潸睒炶蔪蟮脠曏嶦杣山覢穇襳羴壇騸彡羶赸嘇蟺熌蟬潬饍撣檆摻笧姗髟攙譱珊缮儃曑鄯掸鯅釤柵閊銏陝狦赡挻樿顃澘僤烻栅晱椫繕痁圸膳汕撡擔葠顫僐扇善墡敾陕骟櫼单軕邖笘幓姍掞襂搧閃墠跚訕疝芟刪
shang 觴姠仩尙上傷踼商賞殇蔏晌尚湯鬺螪汤贘裳鑜慯滳垧墒鞝緔坰恦謪場赏殤埫塲扄绱曏觞伤愓漡蠰熵
shao 梢娋韶髾鮹稍蕱少萔燒苕鞘劭召弰芍韒玿颵杓袑綃柖牊睄哨烧蛸捎紹莦邵卲旓绍燿萷輎摉鞩佋焼勺綤艄筲潲
she 弽歙賒摵奢厙騇慴欇厍蛥揲蔎畬蛇磼赊韘摄捨葉邪涻蠂挕抴猞滠舎設设攝社麝懾慑灄折輋佘聶舌闍檨奓舍畲賖赦涉射渉
shen 鲹身柛甚籶诜讅參神頣黮胂娠審哂眒穼鯵鵢鯓鰰椹愼敒峷腎妽葚绅駪鉮棯曋淰堔婶眘叄甡詵慎侁瀋訷谉鋠砷訠椮参嘇抌姺裑侺糁肾谂兟莘槮什鰺叅曑瞋瞫籸綝蔘鯅矤滲魫深涁燊屾蓡伸嬸申信紳薓渖审諗甧蜃罧呻扟葠矧榊瘆渗弞邥珅祳瘮幓覾昚脤氠沈
sheng 眚斘椉貹蕂圣琞胜鼪甥牲賸渑枡声勝殅渻墭阩榺橳繩剩乘娍晠生呏嵊绳鍟偗升曻焺竔鱦譝鵿苼剰鉎陹昇晟笙憴盛省狌聖聲縄陞珄泩澠湦
shi 鲥齛瑡乨式獅蒒呞石宲柿鉽是褷邿鳾恃鼭溡视識齥軾呩澤鸍兘溼竍褆詩溮繹实弑祏姼虱僿貰诗飭莳适魳使灑饣睗師师炻什昰氏葹釋酾豕絁鯴鎩奭鳲市榁始屎鰣戺嵵旹忯湿驶矢蝨遾嗜遈崼士饰螫謚匙襫塒丗佦駛舓襹蓍眂弒時食冟沶噓谥鮖似賥寔逝畤籭嘘簭峕鉈栻濕鉃馶秲篒释鼫鈰湤殖耆諟鉂佀枾拾詍碩湜笶烒时痑鲺鶳卋眎识徥揓踶屍贳尸惿舐埘澨狧恀餙眡煶史蚀飾鰘室嬕鉇遰咶釃仕鰤釶示侍籂失蝕螄誓鸤势勢噬试轼觢世胑辻浉十實铈箷実事跩鍦篩鉐試叓狶榯適釈拭視峙銴諡狮礻施筮蒔
shou 獣手绶授垨熟嘼售寿膄収夀狩敊收涭艏醻鏉兽壽掱獸首受濤潄綬瘦守扌痩
shu 蠾抒豎絉数暑輸摅鼠杸沭舒術藪軗襩倐薥暏柕侸输虪薯秫怷枢潻潄竖紓纾尗淑儵书俞孎术署蒣鼡紵鸀恕鱪濖鶐竪嗽疏蒁澍捈綀姝陎毺書遹毹鮛熟屬蜀梳籔树束倏墅述璹跾鉥贖焂咰俆疋瑹鄃庶鵨孰菽鏣捒曙疎錰赎數蠴荗漱鱰庻婌糬掓蔬橾属樞殳裋踈黍癙戍樹腧叔塾攄殊隃瀭鐲
shua 選耍誜刷唰
shuai 甩縗缞摔卛率帥蟀衰綏帅
shuan 閂專涮槫闩腨栓柵拴
shuang 双塽慡泷骦鷞驦滝霜騻礵孇鹴爽傱縔灀鸘艭孀欆樉鏯雙
shui 说水說譙氵捝祱谁税帨説涚誰脽裞閖稅涗睡挩
shun 輴吮順鬊瞚橓瞬蕣瞤楯眴舜顺廵
shuo 獡说鎙数汋說哾妁碩藥搠療洬説矟嗍櫟燿箾鑠烁蒴嗽溯爍铄銏朔欶硕槊
sha 挲
si 亖罳鷥死祀咝肆貄食儩鋖竢簛螔似俿驷颸釲厮瀃牭駟丝謕娰偲泗蟴禩価思蟖涘孠覗澌鈻飼四愢撕鐁饲柶笥飔肂僿凘廝銯缌锶伺檡鉰銉佁厶恖泤蛳俟鈶燍嘶洍姒飴螄寺蕬兕傂私緦蕼飤嗣鸶巳杫汜纟司鼶俬泀絲媤禗騦禠耜蜤枱楒騃榹鷉鍶噝斯梩
song 頌嵷漎棇聳凇訟颂吅憽餸嵩怂鬆竦惣倯崧硹菘诵忪鎹讼宋耸蘴柗捒摗娀誦濍枩庺蓯駷慫松送蜙揔従愯枀悚淞檧鍶梥
sou 叜艘凁籔锼惾醙捜藪馊勅颾鏉擻嗖叟瞍餿傁廋蓃捒謏獀棷摗鎪瘶櫢搜颼飕擞螋蒐鄋薮廀溲摉撨嗽騪嗾欶
su 摵溸鯂趚泝宿遬洬簌粟缩素璛謖穌榡櫯玊夙殐酥蘇嗉餗珟莤俗樕蘓速嫊诉驌圲苏觫潚僳誎憟藗鱐鹔囌肅愫鋉棴甦肃卹骕稣傃鷫潥蔌膆遡埣縤樎窣谡訴塑縮粛溯梀涑蹜塐僁
suan 蒜痠匴選筭狻算酸笇祘
sui 縗尿睟隊隨亗歲娞穟璲賥髓旞遺隧澻譢雖睢哸邃歳脺煫岁忰撋鏸碎眭燧髄绥鐆韢繀檖熣嗺瀡膸葰瓍荾鐩誶嵗遀滖挼嬘繸濉禭毸粋遂荽砕繐缞隋倠穗靃陏随芕谇簑埣鞖穂虽襚綏浽祟
sun 薞搎巺孫损鎨隼荪簨喰笋蕵狲湌潠猻箰筍栒飱孙損槂畃榫蓀飧鶽扻摌
suo 鏁摍索葰嗦瑣縒睃歲溑嵗鎻趖锁褨桫缩暛逤惢嗩溹鎈所鎖羧髿娑簔莎犧蜶靃鎍簑傞琑唆璅梭莏蓑挱縮鮻挲魦琐唢
sa 挲
ta 狧趿鎉錔沓溚墖闒搨濌祂漯澾闟咜亣獺鞈鉈闼鞳鮙濕呾挞獭禢它荅褟闥撘靸傝嚺她崉榙涾誻阘譶鞜拓躢塔毾牠蹋踏鰨遝溻铊塌撻榻蹹鎑嗒嚃橽鳎他
tai 旲邰檯肽曃汏孡舦鈦太颱抬炲珆钛忕臺咍漦鈶苔薹蚮鮐囼奤戻态儓台胎粏態嬯籉酞詒冭擡燤菭鲐斄坮忲箈駘大夳跆釐泰汰骀炱溙
tan 藫撢蕁醈墵忐憳癱谈黮倓襢怹貪醓坍袒婒單嗿墰灘賧菼弹瘫啴坛壜曇谭覃裧錟摊憺鐔譠痑醰暺滩鷤緂郯憛壇譚漢贪歎鉭罎擹嘾探潬撣昙彈赕檀儃榃談痰锬攤顃坦嘆舕餤憻傝叹舑埮僋澹繵璮貚湠炭惔碳罈嘽潭憚毯钽
tang 蝪餹糃嵣踼淌膛蘯鼞鞺瑭镗鎲鐋钂赯湯隚傥搪螳儅唐膅嘡禟惝戃盪饄摥餳镋橖鎕欓堂醣漡闣逿棠曭漟擴樘簜啺伖耥閶蕩塘趟鏜糛榶鐺攩磄傏蓎汤蹚躺矘溏羰烫燙铴劏坣儻闛鶶偒糖薚鄌帑篖倘煻爣螗饧
tao 焘祹鞀绦慆縧駣饀讨夲綯幍萄謟轁叨涭仐淘裪討錭頫醄饕鼗濤飸蜪涛鞱槄弢鋾掏啕搯滔綢縚绹騊套咷鞉陶韜韬桃迯匋瑫逃嫍梼絛詜檮燾夵洮籌
te 忑蚮鋱螣棏脦犆貣忒慝蟘特铽
teng 幐痋驣漛螣謄邆腾鼟霯騰藤滕鰧籐駦縢誊僜儯虅籘膯疼
ti 薙弟偍屟踢籊鮧珶綈銻衹歒绨鮷媂惕俶褅崹鍗逖倜洟鶙謕鯷骵瑅缇蝭蹏媞磃鷈碮軆厗褆瓋殢漽嚏苐題揥嗁惖鷤遆徥踶提剃鳀逷替惿姼桋屉嚔题掦涕稊啑鬀趯悌鬄戻挮蕛体啼穉躍詆蹄罤裼鶗躰鹈虒悐髰剔緹諦徲騠體擿锑趧祶梯鷉鵜鐟荑鴺醍屜
tian 覥栝填觍錪磌瑱鎭闐添腆钿鍩鎮寘菾璳紾舚睼窴顛痶娗沺捵畇塡殄緂舔呑餂田盷跈晪銛鴫酟碵鷆靔蚦畑掭佃甜忝唺瞋湉靝婖淟天搷訮倎睓铦靦鷏畋阗恬屇甛胋舑黇兲鈿悿琠畠賟
tiao 条糶誂蓨鋚螩笤調岹岧斢鯈萔鞗铫脩鲦粜樤祒窕趒頫覜鰷芀條眺挑宨嬥祧銚儵艞脁旫蜩调咷佻鎥朷窱趠髫朓恌跳迢齠龆庣晀絩聎蓚蓧
tie 鉄鉆铁呫詀銕贴餮驖飻僣跕怗鴩貼惵諜蛈萜帖鐵鋨聑
ting 婷桯圢侹庁厅嵉渟聴厛聽珽頲停莛榳綎閮侱楟葶烶蜓廰铤廳鞓听艇聼颋筳町濎聤邒誔訂汀霆娗珵梃庭廷烃烴耓鋌亭脡鼮諪涏徎挺蝏
tong 瞳仝蟲侗通詷痛佟捅氃蓪炵衕潼僮桶姛獞穜湩綂峂眮慟曈熥筒朣鲖恸犝筩偅蚒銅浵憅茼鉵絧粡燑彤統烔哃膧同恫垌硧嗵畽峝砼囲狪橦庝鉖酮赨晍樋秱爞鮦峒统铜桐童痌餇
tou 緰黈妵慆鋀鍮骰埱偷斢褕媮諭投綉敨透蘣頭紏匬钭偸亠头諳飳
tu 吐庩湥鵌宊蒤土凸馟嵞途钍廜揬墿葖釷潳摕怢堍汢迌鶟跿鼵鷋莵堗塗鋵凃痜圗徒腞腯捈酴鵵趃嶀駼屠悇檡鋀鈯瘏兎涂禿菟唋突鍎瑹梌涋图筡稌鵚鷵峹圖図圡捸荼秃歝兔
tuan 塼團褍剸貒嫥鷻糰団煓鷒槫畽檲彖磚篿湪鏄褖抟团猯漙椯鱄圕專摶蓴鶉疃慱湍墥
tui 尵頹蜕蛻腿駾退脮蘈藬騩墤俀煺蹆焞饋蓷頽怢橔魋娧穨蹪推僓頺颓聉啍褪隤骽忒讉
tun 訰霕旽錪豚暾吞焞燉庉氽畽黗坉汭軘噋饨純豘憞屯臋朜魨飩忳臀芚啍呑褪鲀囤膯
tuo 酡騨踻堶毤嫷橐橢岮鋖箨訑涶説駝梲棳阤鉈佗鱓驒迆毻託挩妥拓媠沰啴跅牠捝楕駄詑驮侻蘀魠狏袥杔軃鼉棁驼撱讬托拖舃魄說馲紽鵎蟺駞驝鼍椭侂汑鮀砣拕陀乇跎庹磚莌萚脱脫馱矺鰖柝坨槖铊仛柁砤咃沱碢鸵彵迱唾嘽袉陁籜飥饦鴕鼧綏
ta 遢侤
wa 溛嗗徍哇韤洼咓媧漥瓲窊搲砙啘邷韎鮭汙譁腽姽娲挖膃唲嗢襪鼃韈屲瓦窐蛙穵聉畖娃袜窪靺佤攨劸帓
wai 叧崴瀤外顡竵咼喎歪
wan 鎫笂鋔完踠芄忨翫汍薍纨關烷潫脕捥顽妧晚弯夗貦頑挽绾絻杤万睕捖腕岏夘畹塆宛莬蔓紈晥贎刓湾琬闗蚖埦関綄梚蜿豌菀晩婠綰鋺抏孯彎惋輐綩鍐莞鑁鄤骫唍掔錽壪琓剜娩倇漛萬惌贃丸皖邜玩杬晼魭灣盌碗脘輓鋄婉椀帵
wang 忘暀琞莣汪魍网辋瀇兦旺棢尩往忹誷彺望蛧菵徃枉王焹抂網輞仼亡尫迋尪盳蚟妄朢杗蝄罔迬
wei 鄬揋潍玮覹闱烓恑嵬頠痿茟韑渨硊煟覣鍏隇瑋喴葦媙諉濰鮇姽伟尾微違鲔诿衛帏緭痏为亹楲韙霨讆愄儰奜醀猬偎懀維闈浘媁沩畏瞆魏骪苿煀墛瞶爲碨韪捼蝟薶偽蘶萎桅壝慰趡威骫唯轊喂錗艉巍癐觽詴腲崣鰄欈觿椲磈幃峗喡饖徫惟猚嵔緯褽尉螱餧磑危韋暐未屗罻荱隈涠鳂媦蝛沇逶霺湋遺燰撝洈婔崴斖濻潿遗鮠味渭為煒葨葳鰃韦胃硙委薇璏蓶潙熭芛藯蜹位僞癓苇鳚縅寪踓炜纬谓椳衞卫梶蜼隗伪囗撱膸菋犩蒍溈犚琟洧躗圩讏廆蜲瓗愇躛巋觹溦濊瀢餵鮪帷嶶维韡蔚鰖薳娓澮猥嬒謂鏏唩违峞圍煨蔿鍡围揻颹捤骩偉踒叞軎
wen 歾呚豱缊緼鰮溫榅蚉阌螡脗温蚊雯脕鴍縕薀紊珳問桽问穩瘒瘟絻吻忟揾纹輼辒煴顐鳼昷藴轀紋梱闅呅彣搵鈫閿呡抆榲鳁瑥慍褞閺鴖穏殟璺砇刎鎾芠饂馼汶娩聞鰛忞蟁闦妏伆韞塭魰文稳渂闻肳蕰炆鼤
weng 蕹奣塕暡滃翁齆螉甕聬蓊嗡瓮鎓罋鶲鹟瞈嵡
wo 挝踠幄蜗咼猧偓仴渦龏腛涡彟彠艧斡矆撾焥万蒦捰涴噁涹握馧喔沃硪雘搵蝸楃倭捼卧榲媧薶濣瞃莴齷萵嚄婑瓁媉窝叧枂媼臒濄嬒龌我唩婐堝肟擭踒窩捾臥渥
